,tweets,likes,time
73,"RT @carolintaling: #Cardano is the second most active chain last 24 hours, after #Bitcoin All this before Plutus Application Backend tool,…",0,2021-11-15 21:03:04+00:00
74,If you wanna double your money before the year over put it in #Bitcoin right now! Hurry up #notafinancialadvisor #notfinancialadvice https://t.co/JoNC55TMJB,0,2021-11-15 21:03:04+00:00
75,"RT @babelfishmoney: Have a look at our 3rd Weekly Stablecoin update! 🚀

https://t.co/HtLOEvw6iu

#Babelfish #Bitcoin #btc #DeFi #Crypto #Ba…",0,2021-11-15 21:03:03+00:00
76,"RT @CryptoSarelf: Bakın tekrarlıyor! 
#bitcoin ve alt pariteler 1 aylık bir yükseliş trendine girecekler. Tarih 15-20 Aralık. Planımız %100…",0,2021-11-15 21:03:03+00:00
77,Bitcoin Mining Company Marathon Digital Hit With SEC Subpoena : https://t.co/Jjuo5ydje3 https://t.co/fvBS79rIbs,0,2021-11-15 21:03:03+00:00
78,"RT @coin_mining1: $25000 #Bitcoin To A Random Person Just Follows &amp; Retweets

Best Of Luck...",0,2021-11-15 21:03:03+00:00
79,RT @Rolandezra101: Selling peanuts for #bitcoin  in El Salvador 🇸🇻 https://t.co/zVN7QXJqQO,0,2021-11-15 21:03:03+00:00
80,"📉💴$3,194,452 #bitcoin SHORTED @$63601.57 [15/11/21 21:03:02]
🏭 bybit | $BTCUSD

🗣️So scared right now, all my friends go liquidated - 22loops",0,2021-11-15 21:03:03+00:00
81,"RT @natbrunell: Hey @BernieSanders, if the govt wasn’t stealing from the middle class/poor for decades through the inflation tax, you would…",0,2021-11-15 21:03:03+00:00
82,"📉💴$1,535,123 #bitcoin SHORTED @$63619.2 [15/11/21 21:03:02]
🏭 bybit | $BTCUSD

🗣️Shit happens - VechainAlex",0,2021-11-15 21:03:02+00:00
83,"📉💴$2,465,850 #bitcoin SHORTED @$63630.62 [15/11/21 21:03:02]
🏭 bybit | $BTCUSD

🗣️Pen is mightier than sword - wizzyking001",0,2021-11-15 21:03:02+00:00
84,RT @Bitcoin: The price of #Bitcoin has gone up fifty thousand dollars in the last year.,0,2021-11-15 21:03:02+00:00
85,RT @LaHuellaSV: #BitcoinWeek║ El Salvador se transforma en un pionero a nivel mundial y en el epicentro de la actividad #Bitcoin  del conti…,0,2021-11-15 21:03:02+00:00
86,RT @Rolandezra101: Selling peanuts for #bitcoin  in El Salvador 🇸🇻 https://t.co/zVN7QXJqQO,0,2021-11-15 21:03:01+00:00
87,"RT @OCTANS_OCTA: Happy Monday Octanauts! 
New website design is nearing completion...
Sleek, Clean, Corporate....The Octans Image...
#octa…",0,2021-11-15 21:03:01+00:00
88,RT @BitcoinSenpai: Crypto needs to reverse higher quickly otherwise the extreme volatility compression (happens once a year at most) is goi…,0,2021-11-15 21:03:01+00:00
89,RT @Leerzeit: Do you want it even more absurd? Yes you do! In a official SEC amendment for new rules on a Bitcoin commodity-based trust sha…,0,2021-11-15 21:03:01+00:00
90,"RT @InvestWithDiego: @nypost I think @coinbase has the wrong #bitcoin listed on their site. 
I don't think this #BTC is bitcoin  🤔

@Coinba…",0,2021-11-15 21:03:01+00:00
91,QLA VS BITCOIN - HOW MANY QLABOT MULTI MILLIONAIRES WILL THERE BE? GET READY 2 RUMBLE! https://t.co/cLgIqROuVm,0,2021-11-15 21:03:01+00:00
92,🤝 Follow me on @betfury. Let's hunt for Bitcoins together! Get an exciting experience on #1 I-Gaming platform with #BTC staking payouts!💰.My Username: User149019 #betfurysuccess #bitcoin #staking,0,2021-11-15 21:03:01+00:00
93,RT @DBATTAGLIAYtube: Ojo no confundan una cosa con otra en mi video fundamental de hoy analizó los datos macro que llevarán a #Bitcoin a nu…,0,2021-11-15 21:03:00+00:00
94,"RT @negrunch: Al fin hemos llegado a la meca bitcoiner y lo primero que hemos hecho es comer pupusas, pagamos con #Bitcoin utilizando #Ligh…",0,2021-11-15 21:03:00+00:00
95,Discussing Bitcoin And V For Vendetta https://t.co/pYCJ8KbaCD,0,2021-11-15 21:03:00+00:00
96,"RT @CryptoMatrix2: 💰 #Giveaway 💰

Pour son lancement https://t.co/PDivXNqBuT un nouveau média spécialisé dans la #crypto 📰 offre à l'un d'e…",0,2021-11-15 21:03:00+00:00
97,"RT @NFTLair: NFT Giveaway!!

Follow 
@NFTLair
  &amp; RT This Tweet &amp; Tag A Friend!! 

Don't Miss This Great Oppurtunity Smiling face with 3 he…",0,2021-11-15 21:02:59+00:00
98,"RT @coin_mining1: $25000 #Bitcoin To A Random Person Just Follows &amp; Retweets

Best Of Luck...",0,2021-11-15 21:02:58+00:00
99,"RT @WatcherGuru: JUST IN: A Ukrainian government official has declared that he bought 124 #Bitcoin in 2013 for $2,800, which is worth over…",0,2021-11-15 21:02:58+00:00
100,$BTBT I wish #Bitcoin would get off its ass!,0,2021-11-15 21:02:58+00:00
101,"Sah le del des ballons c’est un concept qui me calcine, genre à vos grands âges vous mettez des ballons dans vot’ bouche normal en soirée entre 2 conv sur l’évolution du bitcoin ?",0,2021-11-15 21:02:57+00:00
102,"RT @BTCTN: According to an unnamed #economist, #cryptocurrencies need to be accepted by #central banks globally if they are to become an ef…",0,2021-11-15 21:02:57+00:00
103,$MARA is actually the most transparent Bitcoin mining company. Chillax you sheeps. ❗,1,2021-11-15 21:02:57+00:00
104,"RT @AirdropStario: 💧 ShibaGalaxy Airdrop 💧

🏆 Task:          ➕ $10,000 worth of ShibaGalaxy » Total airdrop pool.

👨‍👩‍👧 Referral:   ➕  10…",0,2021-11-15 21:02:57+00:00
105,"RT @TheGuySwann: Taproot does not create some huge expansion of smart contract capability. 

It makes *current tools* more efficient, priva…",0,2021-11-15 21:02:57+00:00
106,RT @BitcoinMagazine: A bipartisan team of U.S. senators is introducing a bill to restrict tax reporting rules present in the infrastructure…,0,2021-11-15 21:02:56+00:00
107,RT @Rolandezra101: Selling peanuts for #bitcoin  in El Salvador 🇸🇻 https://t.co/zVN7QXJqQO,0,2021-11-15 21:02:56+00:00
108,"RT @long: 🔥 Blue Chip GIVEAWAY: Hashmasks 10082 &amp; 5015 🔥

Drawing when @influencerz card #1 Bitcoin Brian sells out. 1 to a  holder &amp; 1 to…",0,2021-11-15 21:02:55+00:00
109,@BITCOIN_ANIMALS https://t.co/8R4Wnldt5T,1,2021-11-15 21:02:55+00:00
110,RT @koinmedya_: Ünlü tacire göre patlamaya hazır 4 kripto para projesi! https://t.co/vsEaAca5cc #aave #altcoin #avalanche #avax #bitcoin #c…,0,2021-11-15 21:02:55+00:00
111,RT @Cointelegraph: Analyst say the market is seeing “bull market distribution” as Bitcoin and Ethereum face strong overhead resistance and…,0,2021-11-15 21:02:55+00:00
112,"RT @ForexSihle96: MARKETWATCH 
USDJPY
AUDNZD
AUDJPY
AUDCHF
USDCHF
$TLSA
#banknifty #Bitcoin
#USD #USDJPY #AUD #AUDJPY #AUDCHF #AUDNZD #USDC…",0,2021-11-15 21:02:55+00:00
113,"RT @anibalcripto: Llegamos a El Salvador🇸🇻! 
Resumen: Clima templado🥵, gente cordial y cálida😊, paisajes verdes por doquier🌳y lo mejor pagu…",0,2021-11-15 21:02:54+00:00
114,"RT @FegMillionaire: Ste_Cha_FEG: RT @Ste_Cha_FEG: 🚨 NEW FEG MEDIA ALERT 🚨 

Take a look at the new PR article on Smart-DeFi and ROX token b…",0,2021-11-15 21:02:54+00:00
115,"RT @MrwebFinance: The wait is over!
The much anticipated #BEP20 $AMA  airdrop is LIVE.
Join the airdrop event using the link below: https:/…",0,2021-11-15 21:02:54+00:00
116,"RT @InvestWithDiego: @nypost I think @coinbase has the wrong #bitcoin listed on their site. 
I don't think this #BTC is bitcoin  🤔

@Coinba…",0,2021-11-15 21:02:54+00:00
117,"RT @SovrynBTC: 1/7 MYNT Bootstrap Event has ended ✨🤝

We're glad that you had a chance to take part in #Bitcoin-backed stablecoin history a…",0,2021-11-15 21:02:54+00:00
118,"https://t.co/18SCuT8x5H  Domain name For Sale @Sedo
#Metaverse #GoMetaverse #App #DeFi #NFT #Marketing #Media #News #technology #Meta #Business #Startup #app #Branding #100DaysOfCode #manufacturing #python #Apple #vr #Metamask #digital #tech #games #fintech #bitcoin #Crypto #BSC https://t.co/Oz4OD5qMxP",0,2021-11-15 21:02:53+00:00
119,Atualização Taproot do bitcoin é ativada e facilita transações complexas https://t.co/xoAskKnXEO,0,2021-11-15 21:02:53+00:00
120,RT @CarreroTec: Tags : #nfts #nft #nftart #nftartist #nftcollector #cryptoart #digitalart #nftcommunity #art #crypto #ethereum #blockchain…,0,2021-11-15 21:02:53+00:00
121,"RT @InvestWithDiego: @nypost I think @coinbase has the wrong #bitcoin listed on their site. 
I don't think this #BTC is bitcoin  🤔

@Coinba…",0,2021-11-15 21:02:53+00:00
122,"RT @remamadisimo: @Techconcatalina Mucho Bitcoin pero de rentabilidad va muy mal, no como $DOGGGO 

El nuevo Dogecoin pero esta vez llegamo…",0,2021-11-15 21:02:53+00:00
123,"#Bitcoin is gonna be like a teen losing their virginity…

It’s gonna come short of everyone’s expectations 

If I’m wrong, WE ALL WIN 🤷🏽‍♀️",1,2021-11-15 21:02:53+00:00
124,"RT @nayibbukele: Where El Salvador of the past meets El Salvador of the future.

#Bitcoin🌋🇸🇻",0,2021-11-15 21:02:53+00:00
