,Date,Open,High,Low,Adj Close,Volume,ref_Close,Perc_ref,Perc_Change,Ticker,Net_Close,Net_High,Net_Low,PC 1,PC 2,PC 3,Class
84,2020-05-04,5.84,5.93,5.4,5.48,4068100,-0.8299999999999992,-0.1315372424722661,-0.0656934306569342,GME,-0.3599999999999994,0.0899999999999998,-0.4399999999999995,-0.4914294354021481,-0.7736506888033851,0.23634566050401695,0
85,2020-05-05,5.55,5.63,5.35,5.39,2105900,-0.92,-0.1458003169572107,-0.0296846011131725,GME,-0.1600000000000001,0.08,-0.2000000000000001,-0.6385632093845433,-0.8620744682610619,0.17783796229019558,0
86,2020-05-06,5.4,5.4,4.9,4.93,3369600,-1.38,-0.2187004754358161,-0.0953346855983774,GME,-0.4700000000000006,0.0,-0.5,-0.44367985710318153,-0.8413398000293617,0.23118939226050658,0
87,2020-05-07,4.83,4.93,4.65,4.87,2500800,-1.4399999999999995,-0.2282091917591124,0.0082135523613963,GME,0.04,0.0999999999999996,-0.1799999999999997,-0.6936275126086587,-0.8266137011831267,0.18835993077219493,0
88,2020-05-08,4.88,5.19,4.82,4.98,2352600,-1.3299999999999992,-0.2107765451664024,0.0200803212851406,GME,0.1000000000000005,0.3100000000000005,-0.0599999999999996,-0.7620421988506478,-0.7504613335518902,0.11992013375095385,0
89,2020-05-11,4.92,4.96,4.75,4.76,1699200,-1.5499999999999998,-0.2456418383518225,-0.0336134453781512,GME,-0.1600000000000001,0.04,-0.1699999999999999,-0.6499103241991893,-0.8973692668800233,0.17749773178889772,0
90,2020-05-12,4.78,4.92,4.46,4.54,2639200,-1.7699999999999996,-0.2805071315372424,-0.052863436123348,GME,-0.2400000000000002,0.1399999999999996,-0.3200000000000003,-0.5761171552111277,-0.8113369090234863,0.16671230129496542,0
91,2020-05-13,4.54,4.54,4.07,4.21,2882900,-2.1,-0.3328050713153724,-0.0783847980997624,GME,-0.33,0.0,-0.4699999999999997,-0.4926824925000118,-0.8539590043844585,0.21097007735424808,0
92,2020-05-14,4.15,4.19,3.96,4.13,2004900,-2.18,-0.3454833597464342,-0.0048426150121066,GME,-0.0200000000000004,0.04,-0.1900000000000004,-0.6757450736594589,-0.8744935360856815,0.1870599717890207,0
93,2020-05-15,4.05,4.45,4.04,4.22,1940600,-2.09,-0.3312202852614897,0.0402843601895734,GME,0.1699999999999999,0.4000000000000003,-0.0099999999999997,-0.8045168088288615,-0.7286573075814847,0.07403412088601273,0
94,2020-05-18,4.4,4.63,4.36,4.58,2364200,-1.7299999999999995,-0.2741679873217115,0.039301310043668,GME,0.1799999999999997,0.2299999999999995,-0.04,-0.7848028643957327,-0.7798551823481746,0.1506753863651874,0
95,2020-05-19,4.58,4.75,4.37,4.44,1840700,-1.8699999999999992,-0.2963549920760696,-0.0315315315315314,GME,-0.1399999999999996,0.1699999999999999,-0.2099999999999999,-0.6466630577621966,-0.8328563843754265,0.1318970892462112,0
96,2020-05-20,4.5,4.69,4.34,4.43,2543600,-1.88,-0.2979397781299525,-0.0158013544018059,GME,-0.0700000000000002,0.1900000000000004,-0.1600000000000001,-0.6773295062166793,-0.796063938722174,0.16177287086698838,0
