,Date,Open,High,Low,Adj Close,Volume,b_ref_Close,b_Perc_ref,a_ref_Close,a_Perc_ref,Ticker,Net_Close,Net_High
126,2020-07-02,4.49,4.51,4.29,4.29,1887600,-1.3499999999999996,-0.23936170212765953,-49.21,-0.9198130841121496,GME,-0.20000000000000018,0.019999999999999574
127,2020-07-06,4.31,4.34,4.19,4.24,2140900,-1.3999999999999995,-0.24822695035460984,-49.26,-0.9207476635514018,GME,-0.0699999999999994,0.03000000000000025
128,2020-07-07,4.2,4.25,4.06,4.09,2456600,-1.5499999999999998,-0.274822695035461,-49.41,-0.9235514018691589,GME,-0.11000000000000032,0.04999999999999982
129,2020-07-08,4.1,4.29,4.03,4.26,2052800,-1.38,-0.24468085106382978,-49.24,-0.920373831775701,GME,0.16000000000000014,0.1900000000000004
130,2020-07-09,4.27,4.32,4.13,4.21,1992600,-1.4299999999999997,-0.2535460992907801,-49.29,-0.9213084112149532,GME,-0.05999999999999961,0.05000000000000071
131,2020-07-10,4.2,4.38,4.18,4.34,1410800,-1.2999999999999998,-0.2304964539007092,-49.16,-0.9188785046728971,GME,0.13999999999999968,0.17999999999999972
132,2020-07-13,4.35,4.55,4.26,4.26,4216200,-1.38,-0.24468085106382978,-49.24,-0.920373831775701,GME,-0.08999999999999986,0.20000000000000018
133,2020-07-14,4.22,4.31,4.07,4.08,2261600,-1.5599999999999996,-0.276595744680851,-49.42,-0.9237383177570094,GME,-0.13999999999999968,0.08999999999999986
134,2020-07-15,4.13,4.29,4.13,4.19,1474100,-1.4499999999999993,-0.2570921985815602,-49.31,-0.9216822429906543,GME,0.0600000000000005,0.16000000000000014
135,2020-07-16,4.19,4.2,4.09,4.17,1330100,-1.4699999999999998,-0.2606382978723404,-49.33,-0.9220560747663551,GME,-0.020000000000000462,0.009999999999999787
136,2020-07-17,4.16,4.23,3.94,3.96,3065900,-1.6799999999999997,-0.2978723404255319,-49.54,-0.925981308411215,GME,-0.20000000000000018,0.07000000000000028
137,2020-07-20,3.95,4.06,3.77,3.85,3401100,-1.7899999999999996,-0.3173758865248226,-49.65,-0.9280373831775701,GME,-0.10000000000000009,0.10999999999999943
138,2020-07-21,3.9,4.09,3.88,4.01,3337900,-1.63,-0.28900709219858156,-49.49,-0.9250467289719626,GME,0.10999999999999988,0.18999999999999995
139,2020-07-22,4.02,4.12,3.92,4.11,2523500,-1.5299999999999994,-0.27127659574468077,-49.39,-0.9231775700934579,GME,0.09000000000000075,0.10000000000000053
140,2020-07-23,4.09,4.31,4.06,4.11,3237200,-1.5299999999999994,-0.27127659574468077,-49.39,-0.9231775700934579,GME,0.020000000000000462,0.21999999999999975
141,2020-07-24,4.06,4.23,4.01,4.03,2215900,-1.6099999999999994,-0.28546099290780136,-49.47,-0.9246728971962617,GME,-0.02999999999999936,0.17000000000000082
142,2020-07-27,4.02,4.12,3.95,4.01,2472700,-1.63,-0.28900709219858156,-49.49,-0.9250467289719626,GME,-0.009999999999999787,0.10000000000000053
