Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,0.990000,0.990000,0.900000,0.910000,0.910000,3241100
2020-06-09,0.950000,0.950000,0.880000,0.900000,0.900000,2493500
2020-06-10,1.040000,1.400000,0.970000,1.250000,1.250000,35201000
2020-06-11,1.000000,1.090000,0.900000,0.930000,0.930000,7838800
2020-06-12,1.010000,1.020000,0.910000,0.930000,0.930000,2969600
2020-06-15,0.950000,1.020000,0.910000,0.950000,0.950000,5714600
2020-06-16,1.000000,1.010000,0.910000,0.940000,0.940000,2845200
2020-06-17,0.930000,0.940000,0.870000,0.880000,0.880000,2763700
2020-06-18,0.880000,0.910000,0.840000,0.860000,0.860000,1584100
2020-06-19,0.880000,0.920000,0.840000,0.840000,0.840000,1938200
2020-06-22,0.870000,1.180000,0.860000,1.090000,1.090000,12568600
2020-06-23,1.170000,1.190000,0.990000,1.100000,1.100000,8711900
2020-06-24,1.000000,1.040000,0.940000,0.980000,0.980000,3596800
2020-06-25,0.960000,1.060000,0.960000,1.010000,1.010000,2169300
2020-06-26,0.980000,0.980000,0.900000,0.920000,0.920000,2501100
2020-06-29,0.900000,0.920000,0.850000,0.890000,0.890000,1539900
2020-06-30,0.870000,0.970000,0.860000,0.910000,0.910000,1905700
2020-07-01,0.900000,0.960000,0.890000,0.930000,0.930000,2344500
2020-07-02,0.960000,0.960000,0.900000,0.910000,0.910000,1649900
2020-07-06,0.930000,0.960000,0.910000,0.940000,0.940000,1900100
2020-07-07,0.920000,0.930000,0.900000,0.900000,0.900000,1024200
2020-07-08,0.920000,1.050000,0.910000,1.000000,1.000000,5136500
2020-07-09,1.020000,1.020000,0.910000,0.940000,0.940000,2313800
2020-07-10,0.920000,0.960000,0.910000,0.930000,0.930000,723100
2020-07-13,0.930000,0.950000,0.870000,0.880000,0.880000,1681400
2020-07-14,0.920000,0.920000,0.880000,0.910000,0.910000,1110700
2020-07-15,0.910000,0.940000,0.890000,0.920000,0.920000,1278500
2020-07-16,0.900000,0.930000,0.900000,0.910000,0.910000,897700
2020-07-17,0.920000,0.930000,0.890000,0.900000,0.900000,879500
2020-07-20,0.910000,0.930000,0.900000,0.930000,0.930000,1136500
2020-07-21,0.950000,1.000000,0.930000,0.940000,0.940000,3760200
2020-07-22,0.970000,1.220000,0.960000,1.050000,1.050000,13490900
2020-07-23,1.120000,1.200000,0.930000,0.960000,0.960000,12385700
2020-07-24,0.930000,1.150000,0.910000,1.040000,1.040000,25520000
2020-07-27,1.370000,1.720000,1.270000,1.420000,1.420000,75828500
2020-07-28,1.520000,2.030000,1.440000,1.710000,1.710000,73062600
2020-07-29,1.800000,1.940000,1.720000,1.820000,1.820000,26702500
2020-07-30,1.720000,1.800000,1.540000,1.780000,1.780000,10583000
2020-07-31,1.730000,2.190000,1.670000,2.030000,2.030000,37466400
2020-08-03,3.110000,4.790000,2.840000,3.830000,3.830000,225520800
2020-08-04,3.010000,3.660000,2.860000,3.310000,3.310000,28945700
2020-08-05,4.200000,4.740000,3.910000,4.200000,4.200000,97988400
2020-08-06,4.500000,5.250000,4.440000,5.090000,5.090000,80517400
2020-08-07,4.550000,4.690000,3.980000,4.380000,4.380000,27004100
2020-08-10,4.900000,4.930000,4.350000,4.440000,4.440000,18341200
2020-08-11,3.880000,4.160000,3.700000,3.860000,3.860000,14350700
2020-08-12,4.050000,4.050000,3.430000,3.570000,3.570000,9616400
2020-08-13,3.250000,3.900000,3.040000,3.550000,3.550000,16577900
2020-08-14,3.840000,4.090000,3.550000,3.870000,3.870000,22073500
2020-08-17,4.040000,4.190000,3.550000,3.720000,3.720000,27713400
2020-08-18,3.670000,3.670000,3.250000,3.410000,3.410000,9986500
2020-08-19,3.200000,3.410000,3.100000,3.140000,3.140000,7388200
2020-08-20,3.140000,3.290000,3.080000,3.270000,3.270000,8377800
2020-08-21,3.150000,3.150000,2.460000,2.710000,2.710000,14544300
2020-08-24,2.830000,2.840000,2.300000,2.310000,2.310000,8553000
2020-08-25,2.140000,2.510000,2.080000,2.440000,2.440000,8316100
2020-08-26,2.590000,2.630000,2.440000,2.540000,2.540000,8319800
2020-08-27,2.500000,2.550000,2.220000,2.260000,2.260000,5742200
2020-08-28,2.280000,2.750000,2.260000,2.560000,2.560000,12613200
2020-08-31,2.730000,2.730000,2.310000,2.480000,2.480000,6973000
2020-09-01,2.500000,2.810000,2.380000,2.570000,2.570000,17839500
2020-09-02,2.360000,2.400000,2.230000,2.380000,2.380000,6341800
2020-09-03,2.130000,2.250000,2.060000,2.100000,2.100000,6075900
2020-09-04,2.040000,2.190000,1.720000,2.090000,2.090000,8612500
2020-09-08,1.810000,2.070000,1.790000,1.850000,1.850000,5140800
2020-09-09,1.930000,2.050000,1.880000,1.970000,1.970000,3843600
2020-09-10,2.020000,2.090000,1.860000,1.890000,1.890000,4548900
2020-09-11,1.890000,1.920000,1.750000,1.800000,1.800000,3239600
2020-09-14,1.860000,1.990000,1.850000,1.980000,1.980000,5648400
2020-09-15,2.010000,2.090000,1.920000,1.980000,1.980000,4264800
2020-09-16,2.000000,2.330000,1.990000,2.070000,2.070000,13004200
2020-09-17,1.960000,2.040000,1.890000,1.990000,1.990000,4019500
2020-09-18,2.010000,2.020000,1.920000,1.920000,1.920000,3486600
2020-09-21,1.810000,1.890000,1.790000,1.890000,1.890000,3726600
2020-09-22,1.890000,1.900000,1.810000,1.820000,1.820000,1922000
